MONTEVIDEO,MONTEVIDEO
LAVALLEJA,JOSE BATLLE Y ORDOÐEZ
LAVALLEJA,JOSE PEDRO VARELA
LAVALLEJA,MARISCALA
LAVALLEJA,SOLIS DE MATAOJO
LAVALLEJA,PIRARAJA
LAVALLEJA,ZAPICAN
LAVALLEJA,COLON
LAVALLEJA,ARAMENDIA
LAVALLEJA,BLANES VIALE
LAVALLEJA,19 DE JUNIO
LAVALLEJA,ESTACION SOLIS
LAVALLEJA,GAETAN
LAVALLEJA,POLANCO NORTE
LAVALLEJA,VILLA DEL ROSARIO
LAVALLEJA,VILLA SERRANA
LAVALLEJA,BARRIO LA CORONILLA - ANCAP
LAVALLEJA,SAN FRANCISCO DE LAS SIERRAS
LAVALLEJA,ILLESCAS
MALDONADO,MALDONADO
MALDONADO,SAN CARLOS
MALDONADO,AIGUA
MALDONADO,PAN DE AZUCAR
MALDONADO,PIRIAPOLIS
MALDONADO,PUNTA DEL ESTE
MALDONADO,CERRO PELADO
MALDONADO,GARZON
MALDONADO,GERONA
MALDONADO,LAS FLORES - ESTACION
MALDONADO,LOS TALAS
MALDONADO,NUEVA CARRARA
MALDONADO,SOLIS
MALDONADO,PUEBLO SOLIS
MALDONADO,PINARES - LAS DELICIAS
MALDONADO,CHIHUAHUA
MALDONADO,VILLA DELIA
MALDONADO,SAN RAFAEL - EL PLACER
MALDONADO,BARRIO HIPODROMO
MALDONADO,LOS AROMOS
MALDONADO,BELLA VISTA
MALDONADO,CANTERAS DE MARELLI
MALDONADO,CERROS AZULES
MALDONADO,EL CHORRO
MALDONADO,EL EDEN
MALDONADO,EL TESORO
MALDONADO,FARO JOSE IGNACIO
MALDONADO,GREGORIO AZNAREZ
MALDONADO,LA BARRA
MALDONADO,LA CAPUERA
MALDONADO,LAS FLORES
MALDONADO,MANANTIALES
MALDONADO,OCEAN PARK
MALDONADO,PLAYA GRANDE
MALDONADO,PLAYA HERMOSA
MALDONADO,PLAYA VERDE
MALDONADO,PUNTA BALLENA
MALDONADO,PUNTA COLORADA
MALDONADO,PUNTA NEGRA
MALDONADO,RUTA 37 Y 9
MALDONADO,SAUCE DE PORTEZUELO
MALDONADO,SAN VICENTE
MALDONADO,BALNEARIO BUENOS AIRES
MALDONADO,LAS CUMBRES
MALDONADO,LOS CORCHOS
MALDONADO,SANTA MONICA
MALDONADO,EDEN ROCK
MALDONADO,PARQUE MEDINA
